theDay,unixTs,capRealUSD
2020-12-12,1607731200,143272945779.3746
2020-12-18,1608249600,151697081536.6947
2020-12-20,1608422400,153316446365.612
2020-12-30,1609286400,170271920718.5888
2021-01-10,1610236800,205053696607.8096
2021-02-20,1613779200,268422731856.6382
2021-02-24,1614124800,277427108258.9633
2021-03-01,1614556800,282968821458.8698
2021-03-04,1614816000,285827988615.5291
2021-03-07,1615075200,288196970438.7566
2021-03-11,1615420800,297076873839.0579
2021-03-12,1615507200,299504852791.0792
2021-03-14,1615680000,303262572467.9198
2021-03-17,1615939200,308069023806.789
2021-03-22,1616371200,312579041626.8052
2021-04-02,1617321600,328616351737.3948
2021-04-07,1617753600,336582645726.6915
2021-04-20,1618876800,357098265911.1936
2021-04-29,1619654400,363765983442.41
2021-01-03,1609632000,180167391326.7889
2021-01-18,1610928000,214906582152.0548
2021-05-13,1620864000,377163285167.0879
2021-05-16,1621123200,377064455456.9905
2021-05-21,1621555200,371156757566.4334
2021-05-28,1622160000,369643882381.3937
2021-06-02,1622592000,369953785665.6734
2021-06-03,1622678400,370519272605.4367
2021-06-06,1622937600,369529847242.8807
2021-06-10,1623283200,368647767373.5506
2021-06-12,1623456000,368653643238.2881
2021-06-15,1623715200,370071487863.4599
2021-06-24,1624492800,367683065618.3296
2021-06-29,1624924800,364153221211.6759
2021-07-02,1625184000,362689285234.7082
2021-07-13,1626134400,362512311426.037
2021-09-02,1630540800,390888324839.9969
2021-09-04,1630713600,391861263606.2737
2021-09-06,1630886400,393001252188.2612
2022-02-01,1643673600,455168757347.7008
